Month,Continent,HQ,re1,re2,re3,re4,bm1,bm2,bm3,bm4,pv1,pv2,pv3,pv4,Stage
November,Europe,Luxembourg,Commercial,,,,B2B,,,,Smart Building,CleanTech,,,Seed
November,North America,US,Restaurant,,,,SaaS,B2B,,,FoodTech,,,,Seed
November,North America,US,Multifamily,,,,B2B2C,B2B,,,InsurTech,Analytics,,,Series B
November,North America,US,Residential,Hotel,,,,,,,HealthTech,IoT,Smart Home,,Series A
November,North America,US,Mobility,Infrastructure,,,B2B,,,,Smart City,Autonomous Driving,CleanTech,,Seed
November,North America,USA,Residential,Commercial,Hotel,,,,,,Robotic Furniture,,,,Series C
November,Europe,Switzerland,Residential,,,,B2B2C,,,,IoT,Property Management,Smart Home,,Series A
November,Europe,Netherlands,Hotel,Residential,Commercial,,B2B,,,,Smart Glass,CleanTech,Sustainable Facade,,Series A
November,Europe,UK,Residential,,,,eCommerce Platform,,,,HospitalityTech,Short Term Rental Property Mgmt,,,Series A
November,Europe,UK,Commercial,,,,,,,,Data Management,Rent Roll Extraction,,,Seed
November,Europe,Norway,Infrastructure,,,,SaaS,,,,ConTech,,,,Seed
November,Europe,Spain,Residential,,,,B2B2C,,,,Property Sales,,,,Series A
November,Middle East,Israel,Commercial,Residential,Hotel,,,,,,3D Visualization,Layout Planning,,,Seed
November,North America,US,Residential,Hotel,,,B2B,eCommerce Platform,SaaS,,HospitalityTech,,,,Series A
November,North America,US,Hotel,,,,B2C,P2P Platform,,,HospitalityTech,Property Management,,,Series E
November,Europe,France,Commercial,,,,,,,,Building Operating System,Smart Building,,,Venture
November,Europe,UK,Residential,Social Housing,,,SaaS,B2B,,,IoT,Smart Home,,,Series A
November,Europe,Belgium,Farms,Land,,,,,,,FoodTech,CleanTech,,,JV
November,Middle East,Israel,Commercial,,,,SaaS,,,,CleanTech,ClimateTech,Smart Building,,Seed
November,APAC,Japan,Residential,Multifamily,,,,,,,Asset Management,Property Management,,,Series A
December,North America,US,Commercial,Residential,,,Marketplace,,,,Capital Markets Brokerage,Investment Club,,,Seed
December,Oceania,Australia,Commercial,Residential,,,,,,,ConTech,Job Site Safety,Project Management,,Series B
December,Europe,Netherlands,Commercial,,,,B2B,SaaS,,,Tenant Engagement,Smart Building,,,Series B
December,Europe,Luxembourg,Infrastructure,Energy,,,,,,,CleanTech,Photovoltaic Manufacturing,Solar Energy,,Series A
December,Europe,UK,Commercial,,,,B2B,SaaS,,,Tenant Engagement,Smart Building,,,Series A
December,Europe,Netherlands,Commercial,,,,B2B,SaaS,,,Co-Working,Property Management System,Tenant Engagement,,Seed
December,Europe,France,Commercial,,,,B2B,SaaS,,,Co-Working,Occupancy Management,,,Seed
December,North America,USA,Residential,,,,B2B2C,,,,Security Deposit,FinTech,,,Series A
December,North America,USA,Residential,Commercial,Hotel,,SaaS,B2B2C,B2C,B2B,Green Roof,Living Wall,CleanTech,Smart Building,Seed
December,Middle East,Israel,Land,,,,B2B,SaaS,,,Analytics,,,,Seed
December,North America,US,Commercial,Residential,,,SaaS,B2B,,,Analytics,Data Management,Building Operating System,ClimateTech,Series C
December,North America,US,Commercial,,,,B2B,,,,Location Risk Analysis,Analytics,,,Series A
December,Europe,UK,Hotel,Residential,Restaurant,Commercial,B2B,,,,HospitalityTech,,,,Seed
December,Europe,UK,Hotel,Residential,Commercial,,SaaS,Marketplace,,,HospitalityTech,AR/VR,,,Series A
December,Europe,UK,Residential,,,,Marketplace,P2P Platform,,,Homebuying,Property Sales,,,Seed
December,Europe,UK,Residential,Commercial,,,,,,,CleanTech,Space Heating,IoT,,Series A
December,North America,US,Land,Farms,,,,,,,Satellite Tech,AgriTech,,,Growth Equity
December,Europe,Norway,Commercial,Residential,,,B2B,SaaS,,,ConTech,Onsite Execution,Inspection & Monitoring,Project Management,Series A
December,North America,UK,Residential,,,,B2B,B2B2C,SaaS,,Property Sales,Smart Agent,,,Seed
December,Europe,Spain,Residential,,,,B2C,SaaS,,,Homebuying,LegalTech,Property Management,,Seed
December,North America,US,Land,Infrastructure,,,B2B,SaaS,,,Analytics,ConTech,Inspection & Monitoring,Location Risk Analysis,Series A
